Entity,Code,Year,Male,Female,Population,World regions according to OWID,time,time
Lesotho,LSO,2010,5.85,1.08,1996257,Africa,2010,2023
Lesotho,LSO,2015,5.65,1.02,2104613,Africa,2015,2023
Lesotho,LSO,2019,7.79,1.43,2209414,Africa,2019,2023
Liberia,LBR,2000,7.35,1.81,2928117,Africa,2000,2023
Liberia,LBR,2005,7.08,1.73,3301017,Africa,2005,2023
Liberia,LBR,2010,6.38,1.54,4058897,Africa,2010,2023
Liberia,LBR,2015,5.92,1.43,4659438,Africa,2015,2023
Liberia,LBR,2019,5.94,1.43,5043720,Africa,2019,2023
Libya,LBY,2000,0.01,0,5305020,Africa,2000,2023
Libya,LBY,2005,0.05,0.01,5858791,Africa,2005,2023
Libya,LBY,2010,0.01,0,6497838,Africa,2010,2023
Libya,LBY,2015,0.02,0,6531825,Africa,2015,2023
Libya,LBY,2019,0.01,0,6951038,Africa,2019,2023
Lithuania,LTU,2000,18.81,5.42,3500410,Europe,2000,2023
Lithuania,LTU,2005,22.17,6.39,3322264,Europe,2005,2023
Lithuania,LTU,2010,23.12,6.6,3097719,Europe,2010,2023
Lithuania,LTU,2015,23.29,6.56,2905772,Europe,2015,2023
Lithuania,LTU,2019,19.34,5.39,2795057,Europe,2019,2023
Luxembourg,LUX,2000,21.29,6.36,436142,Europe,2000,2023
Luxembourg,LUX,2005,19.79,5.97,465372,Europe,2005,2023
Luxembourg,LUX,2010,18.71,5.71,507418,Europe,2010,2023
Luxembourg,LUX,2015,17.92,5.53,569541,Europe,2015,2023
Luxembourg,LUX,2019,17.6,5.44,620166,Europe,2019,2023
Madagascar,MDG,2000,2.4,0.52,16516337,Africa,2000,2023
Madagascar,MDG,2005,1.54,0.33,19159713,Africa,2005,2023
Madagascar,MDG,2010,1.76,0.37,22183343,Africa,2010,2023
Madagascar,MDG,2015,1.67,0.35,25426704,Africa,2015,2023
Madagascar,MDG,2019,1.69,0.35,28219558,Africa,2019,2023
Malawi,MWI,2000,5.12,1.05,11315946,Africa,2000,2023
Malawi,MWI,2005,5.37,1.1,12840034,Africa,2005,2023
Malawi,MWI,2010,6.11,1.28,14826466,Africa,2010,2023
Malawi,MWI,2015,5.76,1.21,17085585,Africa,2015,2023
Malawi,MWI,2019,5.52,1.16,19025748,Africa,2019,2023
Malaysia,MYS,2000,1.07,0.17,22967817,Asia,2000,2023
Malaysia,MYS,2005,1,0.16,25836073,Asia,2005,2023
Malaysia,MYS,2010,1.01,0.16,28655771,Asia,2010,2023
Malaysia,MYS,2015,1.11,0.18,31232796,Asia,2015,2023
Malaysia,MYS,2019,1.29,0.2,33440588,Asia,2019,2023
Maldives,MDV,2000,3.01,0.4,282025,Asia,2000,2023
Maldives,MDV,2005,2.36,0.32,306431,Asia,2005,2023
Maldives,MDV,2010,2.52,0.34,360801,Asia,2010,2023
Maldives,MDV,2015,2.12,0.26,428165,Asia,2015,2023
Maldives,MDV,2019,2.22,0.27,487737,Asia,2019,2023
Mali,MLI,2000,1.4,0.22,11559291,Africa,2000,2023
Mali,MLI,2005,1.33,0.21,13538647,Africa,2005,2023
Mali,MLI,2010,5.81,0.96,15945201,Africa,2010,2023
Mali,MLI,2015,7.83,1.29,18593022,Africa,2015,2023
Mali,MLI,2019,7.42,1.22,21068406,Africa,2019,2023
Malta,MLT,2000,8.96,2.54,399905,Europe,2000,2023
Malta,MLT,2005,10.61,3.03,413323,Europe,2005,2023
Malta,MLT,2010,10.82,3.08,422652,Europe,2010,2023
Malta,MLT,2015,11.93,3.44,444979,Europe,2015,2023
Malta,MLT,2019,13.03,3.79,504017,Europe,2019,2023
Mauritania,MRT,2000,0,0,2613451,Africa,2000,2023
Mauritania,MRT,2005,0,0,2939062,Africa,2005,2023
Mauritania,MRT,2010,0,0,3390967,Africa,2010,2023
Mauritania,MRT,2015,0,0,3965959,Africa,2015,2023
Mauritania,MRT,2019,0,0,4467714,Africa,2019,2023
Mauritius,MUS,2000,13.13,2.97,1216632,Africa,2000,2023
Mauritius,MUS,2005,12.93,2.89,1257214,Africa,2005,2023
Mauritius,MUS,2010,12.65,2.81,1282710,Africa,2010,2023
Mauritius,MUS,2015,12.24,2.7,1292282,Africa,2015,2023
Mauritius,MUS,2019,12.45,2.75,1286269,Africa,2019,2023
Mexico,MEX,2000,10.08,2.54,98625554,North America,2000,2023
Mexico,MEX,2005,10.13,2.54,105811502,North America,2005,2023
Mexico,MEX,2010,8.59,2.11,113623897,North America,2010,2023
Mexico,MEX,2015,8.46,2.07,121072310,North America,2015,2023
Mexico,MEX,2019,9.38,2.3,125762977,North America,2019,2023
Micronesia (country),FSM,2000,5.57,1.22,112067,Oceania,2000,2023
Micronesia (country),FSM,2005,4.14,0.88,111420,Oceania,2005,2023
Micronesia (country),FSM,2010,4.12,0.86,107558,Oceania,2010,2023
Micronesia (country),FSM,2015,3.47,0.71,108727,Oceania,2015,2023
Micronesia (country),FSM,2019,3.53,0.72,110294,Oceania,2019,2023
Moldova,MDA,2000,16.77,4.77,4234970,Europe,2000,2023
Moldova,MDA,2005,20.9,6,3988666,Europe,2005,2023
Moldova,MDA,2010,18.48,5.23,3631993,Europe,2010,2023
Moldova,MDA,2015,18.41,5.12,3287169,Europe,2015,2023
Moldova,MDA,2019,18.49,5.09,3112563,Europe,2019,2023
Mongolia,MNG,2000,4.55,1.16,2455184,Asia,2000,2023
Mongolia,MNG,2005,7.18,1.9,2563466,Asia,2005,2023
Mongolia,MNG,2010,12.28,3.34,2701738,Asia,2010,2023
Mongolia,MNG,2015,15.36,4.15,2976528,Asia,2015,2023
Mongolia,MNG,2019,12.71,3.35,3232119,Asia,2019,2023
Montenegro,MNE,2010,16.92,4.36,632090,Europe,2010,2023
Montenegro,MNE,2015,15.59,3.96,628147,Europe,2015,2023
Montenegro,MNE,2019,16.86,4.31,611673,Europe,2019,2023
Morocco,MAR,2000,0.82,0.12,28423439,Africa,2000,2023
Morocco,MAR,2005,0.85,0.12,30358145,Africa,2005,2023
Morocco,MAR,2010,0.89,0.12,32467008,Africa,2010,2023
Morocco,MAR,2015,0.72,0.1,34607590,Africa,2015,2023
Morocco,MAR,2019,0.86,0.11,36210907,Africa,2019,2023
Mozambique,MOZ,2000,1.88,0.37,18129652,Africa,2000,2023
Mozambique,MOZ,2005,1.81,0.35,20304578,Africa,2005,2023
Mozambique,MOZ,2010,2.13,0.41,22999235,Africa,2010,2023
Mozambique,MOZ,2015,3.03,0.59,26547575,Africa,2015,2023
Mozambique,MOZ,2019,3.48,0.68,29884376,Africa,2019,2023
Myanmar,MMR,2000,0.62,0.13,45290851,Asia,2000,2023
Myanmar,MMR,2005,1.17,0.25,47438362,Asia,2005,2023
Myanmar,MMR,2010,1.81,0.39,49024376,Asia,2010,2023
Myanmar,MMR,2015,2.68,0.58,51089060,Asia,2015,2023
Myanmar,MMR,2019,3.5,0.77,52640718,Asia,2019,2023
Namibia,NAM,2000,8.06,1.55,1818651,Africa,2000,2023
Namibia,NAM,2005,7.71,1.48,1966581,Africa,2005,2023
Namibia,NAM,2010,8.57,1.67,2109813,Africa,2010,2023
Namibia,NAM,2015,10.37,2.05,2374305,Africa,2015,2023
Namibia,NAM,2019,10.27,2,2650500,Africa,2019,2023
Nauru,NRU,2000,7.18,1.62,10187,Oceania,2000,2023
Nauru,NRU,2005,4.48,0.97,10071,Oceania,2005,2023
Nauru,NRU,2010,6.75,1.51,10067,Oceania,2010,2023
Nauru,NRU,2015,4.81,1.05,10974,Oceania,2015,2023
Nauru,NRU,2019,4.82,1.04,11609,Oceania,2019,2023
Nepal,NPL,2000,0.33,0.06,24546510,Asia,2000,2023
Nepal,NPL,2005,0.53,0.1,26309462,Asia,2005,2023
Nepal,NPL,2010,1.65,0.32,27341955,Asia,2010,2023
Nepal,NPL,2015,2.14,0.43,27823631,Asia,2015,2023
Nepal,NPL,2019,2.4,0.48,28414066,Asia,2019,2023
Netherlands,NLD,2000,17.46,5.05,16058758,Europe,2000,2023
Netherlands,NLD,2005,16.84,4.86,16465707,Europe,2005,2023
Netherlands,NLD,2010,15.96,4.62,16771232,Europe,2010,2023
Netherlands,NLD,2015,14.67,4.25,17107427,Europe,2015,2023
Netherlands,NLD,2019,14.51,4.23,17537506,Europe,2019,2023
New Zealand,NZL,2000,15.28,4.6,3857576,Oceania,2000,2023
New Zealand,NZL,2005,15.87,4.8,4135004,Oceania,2005,2023
New Zealand,NZL,2010,16.07,4.87,4347767,Oceania,2010,2023
New Zealand,NZL,2015,15.12,4.58,4614037,Oceania,2015,2023
New Zealand,NZL,2019,15.36,4.66,4989412,Oceania,2019,2023
Nicaragua,NIC,2000,6.42,1.58,5022636,North America,2000,2023
Nicaragua,NIC,2005,6.72,1.65,5342108,North America,2005,2023
Nicaragua,NIC,2010,6.14,1.49,5737451,North America,2010,2023
Nicaragua,NIC,2015,6.74,1.63,6149418,North America,2015,2023
Nicaragua,NIC,2019,6.84,1.64,6483660,North America,2019,2023
Niger,NER,2000,0.24,0.04,11509635,Africa,2000,2023
Niger,NER,2005,0.24,0.04,13756191,Africa,2005,2023
Niger,NER,2010,0.29,0.04,16548832,Africa,2010,2023
Niger,NER,2015,0.31,0.05,19939497,Africa,2015,2023
Niger,NER,2019,0.23,0.03,22947765,Africa,2019,2023
Nigeria,NGA,2000,13.13,2.74,126382491,Africa,2000,2023
Nigeria,NGA,2005,13.08,2.73,145017255,Africa,2005,2023
Nigeria,NGA,2010,8.42,1.69,166642887,Africa,2010,2023
Nigeria,NGA,2015,7.32,1.43,190671883,Africa,2015,2023
Nigeria,NGA,2019,7.02,1.37,209485636,Africa,2019,2023
Niue,NIU,2000,12.52,2.7,2068,Oceania,2000,2023
Niue,NIU,2005,11.94,2.52,1849,Oceania,2005,2023
Niue,NIU,2010,10.99,2.28,1786,Oceania,2010,2023
Niue,NIU,2015,15.09,3.05,1803,Oceania,2015,2023
Niue,NIU,2019,15.97,3.16,1814,Oceania,2019,2023
North Korea,PRK,2000,6.39,1.56,23665910,Asia,2000,2023
North Korea,PRK,2005,6.73,1.64,24396433,Asia,2005,2023
North Korea,PRK,2010,7.26,1.79,24987258,Asia,2010,2023
North Korea,PRK,2015,7.26,1.8,25575355,Asia,2015,2023
North Korea,PRK,2019,6.97,1.73,26037633,Asia,2019,2023
North Macedonia,MKD,2000,7.28,1.66,2057255,Europe,2000,2023
North Macedonia,MKD,2005,7.81,1.75,2089808,Europe,2005,2023
North Macedonia,MKD,2010,7.14,1.55,2051510,Europe,2010,2023
North Macedonia,MKD,2015,7.13,1.52,1980366,Europe,2015,2023
North Macedonia,MKD,2019,7.66,1.63,1897643,Europe,2019,2023
Norway,NOR,2000,10.42,2.98,4490866,Europe,2000,2023
Norway,NOR,2005,11.36,3.3,4623119,Europe,2005,2023
Norway,NOR,2010,11.52,3.39,4889160,Europe,2010,2023
Norway,NOR,2015,10.54,3.1,5189776,Europe,2015,2023
Norway,NOR,2019,10.49,3.09,5347735,Europe,2019,2023
Oman,OMN,2000,1.23,0.19,2282138,Asia,2000,2023
Oman,OMN,2005,1.58,0.24,2459808,Asia,2005,2023
Oman,OMN,2010,1.29,0.2,2757451,Asia,2010,2023
Oman,OMN,2015,1.11,0.16,4184897,Asia,2015,2023
Oman,OMN,2019,1.21,0.17,4591247,Asia,2019,2023
Pakistan,PAK,2000,0.06,0.01,154879124,Asia,2000,2023
Pakistan,PAK,2005,0.08,0.01,175453212,Asia,2005,2023
Pakistan,PAK,2010,0.13,0.02,199239047,Asia,2010,2023
Pakistan,PAK,2015,0.16,0.03,217290885,Asia,2015,2023
Pakistan,PAK,2019,0.18,0.03,230800909,Asia,2019,2023
Panama,PAN,2000,8.67,2.09,3010376,North America,2000,2023
Panama,PAN,2005,8.69,2.1,3313025,North America,2005,2023
Panama,PAN,2010,10.48,2.57,3628537,North America,2010,2023
Panama,PAN,2015,10.6,2.63,3960036,North America,2015,2023
Panama,PAN,2019,10.6,2.65,4234699,North America,2019,2023
Papua New Guinea,PNG,2000,3.5,0.74,5537068,Oceania,2000,2023
Papua New Guinea,PNG,2005,3.02,0.64,6535905,Oceania,2005,2023
Papua New Guinea,PNG,2010,2.26,0.47,7633523,Oceania,2010,2023
Papua New Guinea,PNG,2015,2.79,0.59,8743247,Oceania,2015,2023
Papua New Guinea,PNG,2019,2.75,0.57,9609014,Oceania,2019,2023
Paraguay,PRY,2000,8.91,2.43,5100874,South America,2000,2023
Paraguay,PRY,2005,9.24,2.52,5448102,South America,2005,2023
Paraguay,PRY,2010,10.01,2.74,5737974,South America,2010,2023
Paraguay,PRY,2015,8.54,2.3,6159106,South America,2015,2023
Paraguay,PRY,2019,8.85,2.37,6515060,South America,2019,2023
Peru,PER,2000,9.28,2.85,26598327,South America,2000,2023
Peru,PER,2005,9.51,2.9,28101174,South America,2005,2023
Peru,PER,2010,11.65,3.52,29086021,South America,2010,2023
Peru,PER,2015,11.73,3.51,30457600,South America,2015,2023
Peru,PER,2019,11.58,3.46,32449301,South America,2019,2023
Philippines,PHL,2000,9.36,2.29,79625402,Asia,2000,2023
Philippines,PHL,2005,9.06,2.2,88015957,Asia,2005,2023
Philippines,PHL,2010,9.86,2.39,96337126,Asia,2010,2023
Philippines,PHL,2015,9.42,2.27,105312986,Asia,2015,2023
Philippines,PHL,2019,9.92,2.4,110804685,Asia,2019,2023
Poland,POL,2000,15.44,4.31,38258076,Europe,2000,2023
Poland,POL,2005,17.14,4.79,38124377,Europe,2005,2023
Poland,POL,2010,18.1,5.05,38095356,Europe,2010,2023
Poland,POL,2015,18.4,5.09,38266314,Europe,2015,2023
Poland,POL,2019,18.67,5.15,38225884,Europe,2019,2023
Portugal,PRT,2000,20.32,5.92,10283196,Europe,2000,2023
Portugal,PRT,2005,19.44,5.62,10502994,Europe,2005,2023
Portugal,PRT,2010,18.29,5.24,10578659,Europe,2010,2023
Portugal,PRT,2015,17.02,4.84,10370266,Europe,2015,2023
Portugal,PRT,2019,16.89,4.81,10343218,Europe,2019,2023
Qatar,QAT,2000,1.22,0.22,644993,Asia,2000,2023
Qatar,QAT,2005,1.66,0.32,825417,Asia,2005,2023
Qatar,QAT,2010,1.4,0.29,1709240,Asia,2010,2023
Qatar,QAT,2015,1.41,0.27,2427337,Asia,2015,2023
Qatar,QAT,2019,1.4,0.26,2797927,Asia,2019,2023
Romania,ROU,2000,30.47,8.54,22046264,Europe,2000,2023
Romania,ROU,2005,29.33,8.18,21213395,Europe,2005,2023
Romania,ROU,2010,28.25,7.82,20432576,Europe,2010,2023
Romania,ROU,2015,27.07,7.44,19871018,Europe,2015,2023
Romania,ROU,2019,27.3,7.51,19501543,Europe,2019,2023
Russia,RUS,2000,23.69,5.58,146717784,Europe,2000,2023
Russia,RUS,2005,24.79,5.91,144597888,Europe,2005,2023
Russia,RUS,2010,23.53,5.65,143934468,Europe,2010,2023
Russia,RUS,2015,20,4.69,145307611,Europe,2015,2023
Russia,RUS,2019,17.95,4.17,146533063,Europe,2019,2023
Rwanda,RWA,2000,2.43,0.55,8213935,Africa,2000,2023
Rwanda,RWA,2005,2.38,0.53,9054532,Africa,2005,2023
Rwanda,RWA,2010,2.13,0.46,10317559,Africa,2010,2023
Rwanda,RWA,2015,2.34,0.5,11640027,Africa,2015,2023
Rwanda,RWA,2019,3.18,0.69,12776104,Africa,2019,2023
Saint Kitts and Nevis,KNA,2000,10.33,2.68,45272,North America,2000,2023
Saint Kitts and Nevis,KNA,2005,12.43,3.28,46459,North America,2005,2023
Saint Kitts and Nevis,KNA,2010,10.38,2.7,46871,North America,2010,2023
Saint Kitts and Nevis,KNA,2015,9.88,2.55,47108,North America,2015,2023
Saint Kitts and Nevis,KNA,2019,10.28,2.66,46974,North America,2019,2023
Saint Lucia,LCA,2000,16.51,4.44,158624,North America,2000,2023
Saint Lucia,LCA,2005,18.36,4.93,165461,North America,2005,2023
Saint Lucia,LCA,2010,15.27,4.04,170920,North America,2010,2023
Saint Lucia,LCA,2015,13.79,3.59,174919,North America,2015,2023
Saint Lucia,LCA,2019,15.15,3.94,177674,North America,2019,2023
Saint Vincent and the Grenadines,VCT,2000,7.25,1.82,113562,North America,2000,2023
Saint Vincent and the Grenadines,VCT,2005,8.49,2.15,112465,North America,2005,2023
Saint Vincent and the Grenadines,VCT,2010,10.45,2.66,109976,North America,2010,2023
Saint Vincent and the Grenadines,VCT,2015,11.01,2.79,106975,North America,2015,2023
Saint Vincent and the Grenadines,VCT,2019,11.26,2.84,104182,North America,2019,2023
Samoa,WSM,2000,6.49,1.4,181695,Oceania,2000,2023
Samoa,WSM,2005,6.27,1.34,186993,Oceania,2005,2023
Samoa,WSM,2010,4.23,0.87,193035,Oceania,2010,2023
Samoa,WSM,2015,3.58,0.73,201794,Oceania,2015,2023
Samoa,WSM,2019,3.93,0.81,209793,Oceania,2019,2023
Sao Tome and Principe,STP,2000,10.64,2.99,144028,Africa,2000,2023
Sao Tome and Principe,STP,2005,11.42,3.21,161650,Africa,2005,2023
Sao Tome and Principe,STP,2010,9.34,2.55,181811,Africa,2010,2023
Sao Tome and Principe,STP,2015,9.37,2.52,200306,Africa,2015,2023
Sao Tome and Principe,STP,2019,7.95,2.09,213404,Africa,2019,2023
Saudi Arabia,SAU,2000,0,0,16177733,Asia,2000,2023
Saudi Arabia,SAU,2005,0,0,20559884,Asia,2005,2023
Saudi Arabia,SAU,2010,0,0,25157135,Asia,2010,2023
Saudi Arabia,SAU,2015,0,0,29974944,Asia,2015,2023
Saudi Arabia,SAU,2019,0,0,30472810,Asia,2019,2023
Senegal,SEN,2000,0.84,0.13,9968263,Africa,2000,2023
Senegal,SEN,2005,0.84,0.13,11235473,Africa,2005,2023
Senegal,SEN,2010,0.74,0.11,12635418,Africa,2010,2023
Senegal,SEN,2015,0.67,0.1,14593336,Africa,2015,2023
Senegal,SEN,2019,0.73,0.11,16352926,Africa,2019,2023
Serbia,SRB,2010,16.16,4.3,7395872,Europe,2010,2023
Serbia,SRB,2015,12.85,3.34,7177257,Europe,2015,2023
Serbia,SRB,2019,12.94,3.35,6966154,Europe,2019,2023
Seychelles,SYC,2000,11.83,2.98,83339,Africa,2000,2023
Seychelles,SYC,2005,12.78,3.22,89288,Africa,2005,2023
Seychelles,SYC,2010,12.15,3.05,94993,Africa,2010,2023
Seychelles,SYC,2015,18.54,4.76,107247,Africa,2015,2023
Seychelles,SYC,2019,18.41,4.72,117662,Africa,2019,2023
Sierra Leone,SLE,2000,0.4,0.06,4423614,Africa,2000,2023
Sierra Leone,SLE,2005,0.4,0.06,5501707,Africa,2005,2023
Sierra Leone,SLE,2010,0.55,0.08,6222715,Africa,2010,2023
Sierra Leone,SLE,2015,0.54,0.08,7037659,Africa,2015,2023
Sierra Leone,SLE,2019,0.47,0.07,7731995,Africa,2019,2023
Singapore,SGP,2000,3.55,0.96,4035251,Asia,2000,2023
Singapore,SGP,2005,2.53,0.69,4268361,Asia,2005,2023
Singapore,SGP,2010,2.94,0.82,5077019,Asia,2010,2023
Singapore,SGP,2015,2.91,0.81,5525343,Asia,2015,2023
Singapore,SGP,2019,2.85,0.8,5669562,Asia,2019,2023
Slovakia,SVK,2000,17.69,5.01,5380001,Europe,2000,2023
Slovakia,SVK,2005,16.93,4.78,5376696,Europe,2005,2023
Slovakia,SVK,2010,16.81,4.72,5391857,Europe,2010,2023
Slovakia,SVK,2015,16.47,4.58,5420279,Europe,2015,2023
Slovakia,SVK,2019,16.74,4.61,5450626,Europe,2019,2023
Slovenia,SVN,2000,19.36,5.33,1986818,Europe,2000,2023
Slovenia,SVN,2005,18.83,5.17,1996914,Europe,2005,2023
Slovenia,SVN,2010,17.71,4.81,2044612,Europe,2010,2023
Slovenia,SVN,2015,18.37,4.97,2059947,Europe,2015,2023
Slovenia,SVN,2019,17.33,4.69,2083436,Europe,2019,2023
Solomon Islands,SLB,2000,1.23,0.25,440481,Oceania,2000,2023
Solomon Islands,SLB,2005,1.71,0.35,483090,Oceania,2005,2023
Solomon Islands,SLB,2010,1.83,0.38,532977,Oceania,2010,2023
Solomon Islands,SLB,2015,1.76,0.36,639423,Oceania,2015,2023
Solomon Islands,SLB,2019,2.65,0.55,728156,Oceania,2019,2023
Somalia,SOM,2000,0,0,8838716,Africa,2000,2023
Somalia,SOM,2005,0,0,10644234,Africa,2005,2023
Somalia,SOM,2010,0,0,12261762,Africa,2010,2023
Somalia,SOM,2015,0,0,13806969,Africa,2015,2023
Somalia,SOM,2019,0,0,16030969,Africa,2019,2023
South Africa,ZAF,2000,15.76,3.18,47159714,Africa,2000,2023
South Africa,ZAF,2005,15.25,3.09,49490041,Africa,2005,2023
South Africa,ZAF,2010,15.04,3.02,52344045,Africa,2010,2023
South Africa,ZAF,2015,15.34,3.01,56723537,Africa,2015,2023
South Africa,ZAF,2019,15.2,2.93,59587880,Africa,2019,2023
South Korea,KOR,2000,16.94,5.02,46766659,Asia,2000,2023
South Korea,KOR,2005,14.8,4.33,47851646,Asia,2005,2023
South Korea,KOR,2010,14.63,4.23,48769330,Asia,2010,2023
South Korea,KOR,2015,13.29,3.8,50983908,Asia,2015,2023
South Korea,KOR,2019,12.79,3.63,51767843,Asia,2019,2023
Spain,ESP,2000,18.36,5.34,41019773,Europe,2000,2023
Spain,ESP,2005,18.76,5.44,43958884,Europe,2005,2023
Spain,ESP,2010,14.92,4.26,46840470,Europe,2010,2023
Spain,ESP,2015,15.72,4.46,46683683,Europe,2015,2023
Spain,ESP,2019,17.26,4.92,47435120,Europe,2019,2023
Sri Lanka,LKA,2000,3.13,0.67,19293057,Asia,2000,2023
Sri Lanka,LKA,2005,3.45,0.73,20216531,Asia,2005,2023
Sri Lanka,LKA,2010,4.41,0.94,20879090,Asia,2010,2023
Sri Lanka,LKA,2015,4.87,1.04,21729974,Asia,2015,2023
Sri Lanka,LKA,2019,4.83,1.02,22410552,Asia,2019,2023
Sudan,SDN,2000,0,0,27816747,Africa,2000,2023
Sudan,SDN,2005,0,0,31262447,Africa,2005,2023
Sudan,SDN,2010,0.08,0.01,35414403,Africa,2010,2023
Sudan,SDN,2015,0.33,0.05,40024436,Africa,2015,2023
Sudan,SDN,2019,0.01,0,45548178,Africa,2019,2023
Suriname,SUR,2000,7.65,1.8,476650,South America,2000,2023
Suriname,SUR,2005,8.01,1.88,519322,South America,2005,2023
Suriname,SUR,2010,9.23,2.16,549932,South America,2010,2023
Suriname,SUR,2015,9.23,2.16,581633,South America,2015,2023
Suriname,SUR,2019,10.77,2.57,605780,South America,2019,2023
Sweden,SWE,2000,14.76,4.18,8872100,Europe,2000,2023
Sweden,SWE,2005,14.61,4.17,9029770,Europe,2005,2023
Sweden,SWE,2010,15.27,4.42,9378234,Europe,2010,2023
Sweden,SWE,2015,14.68,4.25,9799482,Europe,2015,2023
Sweden,SWE,2019,14.42,4.18,10279122,Europe,2019,2023
Switzerland,CHE,2000,19.71,5.72,7184003,Europe,2000,2023
Switzerland,CHE,2005,18.38,5.34,7431824,Europe,2005,2023
Switzerland,CHE,2010,17.72,5.2,7825751,Europe,2010,2023
Switzerland,CHE,2015,16.68,4.91,8283940,Europe,2015,2023
Switzerland,CHE,2019,16.19,4.77,8577526,Europe,2019,2023
Syria,SYR,2000,2.28,0.3,16637884,Asia,2000,2023
Syria,SYR,2005,1.96,0.25,18814088,Asia,2005,2023
Syria,SYR,2010,1.76,0.22,22482418,Asia,2010,2023
Syria,SYR,2015,0.52,0.06,19424615,Asia,2015,2023
Syria,SYR,2019,0.36,0.04,20353536,Asia,2019,2023
Tajikistan,TJK,2000,1.58,0.26,6284737,Asia,2000,2023
Tajikistan,TJK,2005,1.33,0.22,6924723,Asia,2005,2023
Tajikistan,TJK,2010,1.2,0.19,7652144,Asia,2010,2023
Tajikistan,TJK,2015,1.54,0.25,8643839,Asia,2015,2023
Tajikistan,TJK,2019,1.5,0.24,9529971,Asia,2019,2023
Tanzania,TZA,2000,19.22,3.99,34260142,Africa,2000,2023
Tanzania,TZA,2005,19.46,3.98,39182083,Africa,2005,2023
Tanzania,TZA,2010,20.26,4.08,44758489,Africa,2010,2023
Tanzania,TZA,2015,19.78,4.03,52020959,Africa,2015,2023
Tanzania,TZA,2019,17.55,3.59,59174889,Africa,2019,2023
Thailand,THA,2000,14.08,3.45,63007813,Asia,2000,2023
Thailand,THA,2005,15.3,3.74,66017415,Asia,2005,2023
Thailand,THA,2010,12.46,2.96,68579442,Asia,2010,2023
Thailand,THA,2015,13.48,3.19,70540790,Asia,2015,2023
Thailand,THA,2019,13.01,3.04,71522265,Asia,2019,2023
Togo,TGO,2000,2.45,0.56,5140046,Africa,2000,2023
Togo,TGO,2005,2.76,0.64,5844638,Africa,2005,2023
Togo,TGO,2010,2.93,0.67,6732595,Africa,2010,2023
Togo,TGO,2015,2.81,0.64,7663199,Africa,2015,2023
Togo,TGO,2019,2.31,0.52,8463068,Africa,2019,2023
Tonga,TON,2000,2.43,0.5,102694,Oceania,2000,2023
Tonga,TON,2005,2.73,0.56,105683,Oceania,2005,2023
Tonga,TON,2010,1.98,0.4,107415,Oceania,2010,2023
Tonga,TON,2015,0.62,0.12,106111,Oceania,2015,2023
Tonga,TON,2019,0.64,0.13,105688,Oceania,2019,2023
Trinidad & Tobago,TTO,2000,8.1,2.03,1319781,North America,2000,2023
Trinidad & Tobago,TTO,2005,9.65,2.47,1352040,North America,2005,2023
Trinidad & Tobago,TTO,2010,9.93,2.53,1386657,North America,2010,2023
Trinidad & Tobago,TTO,2015,10.13,2.51,1429189,North America,2015,2023
Trinidad & Tobago,TTO,2019,9.86,2.42,1484898,North America,2019,2023
Tunisia,TUN,2000,2.87,0.41,9764940,Africa,2000,2023
Tunisia,TUN,2005,3.02,0.43,10255475,Africa,2005,2023
Tunisia,TUN,2010,2.95,0.41,10765982,Africa,2010,2023
Tunisia,TUN,2015,3.63,0.49,11402270,Africa,2015,2023
Tunisia,TUN,2019,3.61,0.49,11875085,Africa,2019,2023
Turkey,TUR,2000,4.32,0.61,65425958,Asia,2000,2023
Turkey,TUR,2005,3.62,0.5,69329555,Asia,2005,2023
Turkey,TUR,2010,3.74,0.52,73346766,Asia,2010,2023
Turkey,TUR,2015,3.34,0.47,80014221,Asia,2015,2023
Turkey,TUR,2019,3.21,0.44,85357671,Asia,2019,2023
Turkmenistan,TKM,2000,4.62,0.77,4582676,Asia,2000,2023
Turkmenistan,TKM,2005,4.66,0.78,5052259,Asia,2005,2023
Turkmenistan,TKM,2010,4.65,0.78,5564355,Asia,2010,2023
Turkmenistan,TKM,2015,5.6,0.93,6215775,Asia,2015,2023
Turkmenistan,TKM,2019,5.12,0.84,6803942,Asia,2019,2023
Tuvalu,TUV,2000,3.02,0.61,9566,Oceania,2000,2023
Tuvalu,TUV,2005,3.03,0.61,9964,Oceania,2005,2023
Tuvalu,TUV,2010,2.64,0.51,10635,Oceania,2010,2023
Tuvalu,TUV,2015,3.07,0.6,10984,Oceania,2015,2023
Tuvalu,TUV,2019,2.06,0.4,10603,Oceania,2019,2023
Uganda,UGA,2000,29.29,7.18,24000157,Africa,2000,2023
Uganda,UGA,2005,28.16,6.93,27963287,Africa,2005,2023
Uganda,UGA,2010,22.88,5.66,32390800,Africa,2010,2023
Uganda,UGA,2015,21.67,5.35,37531444,Africa,2015,2023
Uganda,UGA,2019,19.93,4.88,42999636,Africa,2019,2023
Ukraine,UKR,2000,17.58,4.8,49556655,Europe,2000,2023
Ukraine,UKR,2005,17.07,4.66,47585558,Europe,2005,2023
Ukraine,UKR,2010,19.4,5.26,46456002,Europe,2010,2023
Ukraine,UKR,2015,16.25,4.32,45784903,Europe,2015,2023
Ukraine,UKR,2019,14.57,3.82,44957450,Europe,2019,2023
United Arab Emirates,ARE,2000,2.3,0.31,3493584,Asia,2000,2023
