Country,Name of Ship,Date of Arrival,Registration Numbers,Total Passengers
Fiji,Fultala III,8/17/1905,30304 - 30904,601
Fiji,Fultala III,8/17/1905,30905 - 31093,189
Fiji,Fazilka IV,4/17/1906,31094 - 31974,881
Fiji,Fultala IV,4/28/1906,31975 - 32191,217
Fiji,Fultala IV,4/28/1906,32192 - 32775,584
Fiji,Wardha II,6/28/1906,32776 - 33609,834
Fiji,Fazilka V,1/28/1907,33610 - 34484,875
Fiji,Virawa IV,3/23/1907,34485 - 35075,591
Fiji,Virawa IV,3/23/1907,35076 - 35244,169
Fiji,Fazilka VI,4/25/1907,35245 - 36039,795
Fiji,Sangola I,3/18/1908,36040 - 36317,278
Fiji,Sangola I,3/18/1908,36318 - 37171,854
Fiji,Sangola II,6/6/1908,37172 - 37689,518
Fiji,Sangola II,6/6/1908,37690 - 38258,569
Fiji,Sangola III,2/1/1909,38260 - 39140,881
Fiji,Sangola III,2/1/1909,39141 - 39409,269
Fiji,Sangola IV,4/21/1909,39410 - 40076,667
Fiji,Sangola V,3/7/1910,40077 - 40442,366
Fiji,Sangola V,3/7/1910,40443 - 41139,697
Fiji,Santhia I,4/22/1910,41145 - 41894,750
Fiji,Santhia I,4/22/1910,41895 - 42023,129
Fiji,Sangola VI,6/5/1910,42024 - 42891,868
Fiji,Santhia II,7/8/1910,42892 - 43408,517
Fiji,Santhia II,7/8/1910,43409 - 43923,515
Fiji,Mutlah I,5/22/1911,43924 - 44440,517
Fiji,Mutlah I,5/22/1911,44441 - 44753,313
Fiji,Sutlej I,6/25/1911,44757 - 45605,849
Fiji,Ganges I,7/22/1911,45607 - 45900,294
Fiji,Ganges I,7/22/1911,45901 - 46466,566
Fiji,Mutlah II,8/18/1911,46467 - 47178,712
Fiji,Mutlah II,8/18/1911,47179 - 47329,151
Fiji,Sutlej II,10/4/1911,47330 - 48140,811
Fiji,Sutlej III,4/27/1912,48141 - 48670,530
Fiji,Sutlej III,4/27/1912,48671 - 48997,327
Fiji,Indus,6/8/1912,48998 - 49801,804
Fiji,Ganges II,7/18/1912,49802 - 50378,577
Fiji,Ganges II,7/18/1912,50379 - 50644,266
Fiji,Ganges III,11/8/1912,50645 - 51490,846
Fiji,Ganges IV,2/21/1913,51491 - 52261,771
Fiji,Sutlej IV,4/11/1913,52262 - 52900,639
Fiji,Sutlej IV,4/11/1913,52901 - 53069,169
Fiji,Ganges V,5/29/1913,53070 - 53917,848
Fiji,Ganges VI,9/9/1913,53918 - 54300,383
Fiji,Ganges VI,9/9/1913,54301 - 54701,401
Fiji,Chenab I,3/24/1914,54702 - 55556,855
Fiji,Chenab II,6/16/1914,55557 - 55677,121
Fiji,Chenab II,6/16/1914,55678 - 56273,596
Fiji,Mutlah III,5/7/1915,56274 - 56977,704
Fiji,Mutlah III,5/7/1915,56978 - 57125,148
Fiji,Ganges VII,6/21/1915,57126 - 57971,846
Fiji,Mutlah IV,8/1/1915,57972 - 58305,334
Fiji,Mutlah IV,8/1/1915,58306 - 58783,478
Fiji,Chenab III,9/1/1916,58784 - 59665,882
Fiji,Sutlej V,11/11/1916,59666 - 60538,873
Fiji,Leonidas,5/15/1879,1 - 463,463
Fiji,Berar,6/29/1882,464 - 887,424
Fiji,Poonah I,9/17/1882,888 - 1364,477
Fiji,Poonah II,6/19/1883,1365 - 1860,496
Fiji,Bayard,8/20/1883,1861 - 2354,494
Fiji,Syria,5/14/1884,2355 - 2792,438
Fiji,Howrah,6/26/1884,2793 - 3287,495
Fiji,Pericles,7/3/1884,3288 - 3748,461
Fiji,"Newham, SS",7/23/1884,3749 - 4323,575
Fiji,Main,4/30/1885,4324 - 5048,725
Fiji,Ganges,6/27/1885,5049 - 5329,281
Fiji,Ganges,6/27/1885,5330 - 5571,242
Fiji,Boyne,4/26/1886,5572 - 6108,537
Fiji,Bruce,5/21/1886,6109 - 6566,458
Fiji,Hereford I,4/24/1888,6567 - 6839,273
Fiji,Hereford I,4/24/1888,6840 - 7104,265
Fiji,Moy I,5/3/1889,7105 - 7782,678
Fiji,Rhone I,5/15/1890,7783 - 8367,585
Fiji,Allanshaw,6/17/1890,8368 - 8649,282
Fiji,Allanshaw,6/17/1890,8650 - 8940,291
Fiji,Danube,6/15/1891,8941 - 9531,591
Fiji,Jumna I,6/27/1891,9532 - 9978,447
Fiji,British Peer,4/23/1892,9979 - 10505,527
Fiji,Avon I,5/5/1892,10506 - 11025,520
Fiji,Hereford II,6/15/1892,11026 - 11504,479
Fiji,Moy II,4/14/1893,11507 - 11971,465
Fiji,Jumna II,5/23/1893,11972 - 12281,310
Fiji,Ems I,4/20/1894,12286 - 12851,566
Fiji,Hereford III,6/28/1894,12855 - 13362,508
Fiji,"Vadala, SS",3/26/1895,13366 - 13739,374
Fiji,"Vadala, SS",3/26/1895,13740 - 14109,370
Fiji,"Virawa I, SS",4/26/1895,14110 - 14786,677
Fiji,Erne,4/24/1896,14787 - 15343,557
Fiji,Elbe I,6/13/1896,15344 - 15958,615
Fiji,Rhone II,5/11/1897,15959 - 16611,653
Fiji,Clyde,6/1/1897,16612 - 16953,342
Fiji,Clyde,6/1/1897,16954 - 17281,328
Fiji,Moy III,6/1/1898,17282 - 17849,568
Fiji,Avon II,7/25/1899,17850 - 18316,467
Fiji,Ganges,9/3/1899,18318 - 18551,234
Fiji,Ganges,9/3/1899,18552 - 18780,229
Fiji,Ganges,6/21/1900,18781 - 19334,554
Fiji,Elbe II,7/14/1900,19335 - 19938,604
Fiji,Arno I,7/23/1900,19939 - 20252,314
Fiji,Arno I,7/23/1900,20253 - 20565,313
Fiji,Rhine,8/30/1900,20566 - 21056,491
Fiji,"Fazilka I, SS",3/28/1901,21057 - 21860,804
Fiji,"Fultala I, SS",5/12/1901,21861 - 22669,809
Fiji,"Fazilka II, SS",6/18/1901,22670 - 23445,776
Fiji,"Virawa II, SS",4/26/1902,23446 - 24164,719
Fiji,"Fazilka III, SS",6/20/1902,24165 - 25001,837
Fiji,Mersey,6/13/1903,25004 - 25588,585
Fiji,Elbe III,8/5/1903,25589 - 26178,590
Fiji,Arno II,9/4/1903,26179 - 26518,340
Fiji,Arno II,9/4/1903,26519 - 26812,294
Fiji,Arno III,5/3/1904,26813 - 27443,631
Fiji,Ems II,7/30/1904,27444 - 27969,526
Fiji,Fultala II,4/10/1905,27970 - 28796,827
Fiji,Virawa III,7/17/1905,28797 - 29411,615
Fiji,Wardha I,7/28/1905,29412 - 30303,892
Fiji,Fultala III,8/17/1905,30304 - 30904,601
Fiji,Fultala III,8/17/1905,30905 - 31093,189
Fiji,Fazilka IV,4/17/1906,31094 - 31974,881
Fiji,Fultala IV,4/28/1906,31975 - 32191,217
Fiji,Fultala IV,4/28/1906,32192 - 32775,584
Fiji,Wardha II,6/28/1906,32776 - 33609,834
Fiji,Fazilka V,1/28/1907,33610 - 34484,875
Fiji,Virawa IV,3/23/1907,34485 - 35075,591
Fiji,Virawa IV,3/23/1907,35076 - 35244,169
Fiji,Fazilka VI,4/25/1907,35245 - 36039,795
Fiji,Sangola I,3/18/1908,36040 - 36317,278
Fiji,Sangola I,3/18/1908,36318 - 37171,854
Fiji,Sangola II,6/6/1908,37172 - 37689,518
Fiji,Sangola II,6/6/1908,37690 - 38258,569
Fiji,Sangola III,2/1/1909,38260 - 39140,881
Fiji,Sangola III,2/1/1909,39141 - 39409,269
Fiji,Sangola IV,4/21/1909,39410 - 40076,667
Fiji,Sangola V,3/7/1910,40077 - 40442,366
Fiji,Sangola V,3/7/1910,40443 - 41139,697
Fiji,Santhia I,4/22/1910,41145 - 41894,750
Fiji,Santhia I,4/22/1910,41895 - 42023,129
Fiji,Sangola VI,6/5/1910,42024 - 42891,868
Fiji,Santhia II,7/8/1910,42892 - 43408,517
Fiji,Santhia II,7/8/1910,43409 - 43923,515
Fiji,Mutlah I,5/22/1911,43924 - 44440,517
Fiji,Mutlah I,5/22/1911,44441 - 44753,313
Fiji,Sutlej I,6/25/1911,44757 - 45605,849
Fiji,Ganges I,7/22/1911,45607 - 45900,294
Fiji,Ganges I,7/22/1911,45901 - 46466,566
Fiji,Mutlah II,8/18/1911,46467 - 47178,712
Fiji,Mutlah II,8/18/1911,47179 - 47329,151
Fiji,Sutlej II,10/4/1911,47330 - 48140,811
Fiji,Sutlej III,4/27/1912,48141 - 48670,530
Fiji,Sutlej III,4/27/1912,48671 - 48997,327
Fiji,Indus,6/8/1912,48998 - 49801,804
Fiji,Ganges II,7/18/1912,49802 - 50378,577
Fiji,Ganges II,7/18/1912,50379 - 50644,266
Fiji,Ganges III,11/8/1912,50645 - 51490,846
Fiji,Ganges IV,2/21/1913,51491 - 52261,771
Fiji,Sutlej IV,4/11/1913,52262 - 52900,639
Fiji,Sutlej IV,4/11/1913,52901 - 53069,169
Fiji,Ganges V,5/29/1913,53070 - 53917,848
Fiji,Ganges VI,9/9/1913,53918 - 54300,383
Fiji,Ganges VI,9/9/1913,54301 - 54701,401
Fiji,Chenab I,3/24/1914,54702 - 55556,855
Fiji,Chenab II,6/16/1914,55557 - 55677,121
Fiji,Chenab II,6/16/1914,55678 - 56273,596
Fiji,Mutlah III,5/7/1915,56274 - 56977,704
Fiji,Mutlah III,5/7/1915,56978 - 57125,148
Fiji,Ganges VII,6/21/1915,57126 - 57971,846
Fiji,Mutlah IV,8/1/1915,57972 - 58305,334
Fiji,Mutlah IV,8/1/1915,58306 - 58783,478
Fiji,Chenab III,9/1/1916,58784 - 59665,882
Fiji,Sutlej V,11/11/1916,59666 - 60538,873
